competition_name,season_name,competition_short,tournament_id,match_id,team,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
UEFA Euro,2024,Euro,Euro_2024,3930181,Slovenia,1166,4,295,215,189,27,26,6,20,17,0.164917273,219,74.23728813559322
UEFA Euro,2024,Euro,Euro_2024,3930184,Czech Republic,1098,12,266,204,143,47,29,6,16,18,1.4103225654,186,69.92481203007519
UEFA Euro,2024,Euro,Euro_2024,3930184,Turkey,1855,18,543,453,88,34,41,6,12,24,1.2175436875,467,86.0036832412523
UEFA Euro,2024,Euro,Euro_2024,3938637,Netherlands,2152,21,631,565,127,36,22,7,12,20,1.312755115,555,87.95562599049128
UEFA Euro,2024,Euro,Euro_2024,3938637,Poland,1257,12,324,247,136,37,33,7,33,23,0.9091575623,250,77.1604938271605
UEFA Euro,2024,Euro,Euro_2024,3938639,Georgia,1755,14,488,387,136,41,44,5,17,27,1.57856751,411,84.22131147540983
UEFA Euro,2024,Euro,Euro_2024,3938639,Turkey,2082,22,613,524,89,48,38,3,14,16,2.4034188392,541,88.25448613376835
UEFA Euro,2024,Euro,Euro_2024,3938641,Austria,1834,15,488,413,198,45,28,22,27,12,1.821698256,410,84.01639344262296
UEFA Euro,2024,Euro,Euro_2024,3938641,Poland,1566,15,428,343,157,43,25,5,22,20,1.438092037,338,78.97196261682244
UEFA Euro,2024,Euro,Euro_2024,3938642,Czech Republic,1950,27,567,441,130,47,38,4,18,13,2.8654523907,464,81.83421516754849
UEFA Euro,2024,Euro,Euro_2024,3938642,Georgia,1382,5,353,313,95,49,39,7,27,43,1.179922648,268,75.92067988668555
UEFA Euro,2024,Euro,Euro_2024,3938643,France,2061,19,592,510,153,34,22,6,22,12,1.8914679426,511,86.31756756756756
UEFA Euro,2024,Euro,Euro_2024,3938643,Poland,1706,10,441,388,178,37,28,11,25,25,1.1790940699999999,372,84.35374149659864
UEFA Euro,2024,Euro,Euro_2024,3938644,Georgia,1193,7,299,254,128,29,39,6,24,19,1.345493071,224,74.91638795986621
UEFA Euro,2024,Euro,Euro_2024,3938644,Portugal,2466,22,737,648,121,53,26,3,18,11,2.356130787,661,89.68792401628222
UEFA Euro,2024,Euro,Euro_2024,3938645,Belgium,1998,12,600,542,63,39,18,2,18,9,0.633984568,516,86.0
UEFA Euro,2024,Euro,Euro_2024,3938645,Ukraine,1528,14,401,308,211,29,33,13,17,21,0.7091700303,338,84.28927680798004
